day,total_incoming_t,incoming_in_period_annotatable,processed_in_period,processed_last_3_weeks,processed_a_week_7_days_ago,processing_rate_in_period,time_worked_in_period,average_time_worked,days_in_period,total_bypassed,model_user_agree,bypassed_auto_confirmed,bypassed_other,sent_to_bip,sent_to_unkown,rejected,sent_to_validation,export_flag,pf_backlog,pw_backlog,lc_backlog,bip_backlog,unknown_backlog,validation_backlog,MULTIPLE_ITEMS,NO_NEW_FOOD_VISIBLE,LOOSE_LINER,BIN_CHANGE_CLEANING,CLIENT_OBSTRUCTIONS,REST,bbp_Accelerate,bbp_Control,bbp_Legacy - Gold,bbp_Transform,bbp_VisionAI,bbp_VisionAI+,bbp_VisionControl,bbp_VisionPW,bbpb_Transform,bbpb_VisionAI,bbpb_VisionAI+,BUG_MISSING_PHOTOS,bbp_N/A - Proxy site,bbp_Track,bbp_VisionAI+ (Full data validation),bbpb_Accelerate,bbpb_Control
2024-02-14,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-15,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-18,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-19,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-20,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-21,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-22,227766,69858,71087,0.87,0.87,123.45,927.52,132.50285714285715,7,0.7,0.22,0.06,0.42,0.0,0.06,0.35,0.0,0,476.0,3054.0,18401.0,170,48824,0,0.45,0.18,0.07,0.08,0.08,0.14000000000000012,0.28,0.82,0.93,0.75,0.35,0.75,1.0,0.35,0.18,0.28,0.0,0.0,0.0,0.0,0.0,0.37,0.82
2024-02-23,227351,69156,72430,0.86,0.87,125.0,890.3600000000001,127.19428571428573,7,0.7,0.22,0.06,0.42,0.0,0.06,0.35,0.0,0,509.0,3101.0,19415.0,191,49328,0,0.45,0.17,0.07,0.09,0.08,0.14000000000000012,0.27,0.82,0.93,0.76,0.35,0.75,1.0,0.71,0.21,0.28,0.0,0.0,0.0,0.0,0.0,0.38,0.8
2024-02-24,227380,68623,70482,0.86,0.87,125.17,818.12,116.87428571428572,7,0.7,0.22,0.06,0.42,0.0,0.06,0.35,0.0,0,509.0,3142.0,20629.0,216,49841,0,0.47,0.17,0.07,0.08,0.07,0.1399999999999999,0.28,0.82,0.9,0.76,0.35,0.76,1.0,0.87,0.23,0.27,0.0,0.0,0.0,0.0,0.0,0.38,0.78
2024-02-25,228290,68560,71171,0.86,0.87,124.33,837.1800000000001,119.59714285714287,7,0.71,0.22,0.06,0.43,0.0,0.06,0.35,0.0,0,509.0,3152.0,22080.0,260,50282,0,0.46,0.17,0.07,0.08,0.07,0.1499999999999999,0.28,0.82,0.91,0.76,0.35,0.75,1.0,0.64,0.28,0.26,0.0,0.0,0.0,0.0,0.0,0.39,0.78
2024-02-26,228632,68111,70334,0.85,0.87,124.7,818.13,116.87571428571428,7,0.71,0.22,0.06,0.43,0.0,0.06,0.34,0.0,0,509.0,3177.0,23675.0,389,50608,0,0.46,0.17,0.07,0.08,0.07,0.1499999999999999,0.28,0.82,0.91,0.76,0.35,0.76,1.0,0.57,0.29,0.26,0.0,0.0,0.0,0.0,0.0,0.41,0.77
2024-02-27,229891,68164,70072,0.84,0.87,123.63,833.73,119.10428571428572,7,0.71,0.22,0.06,0.43,0.0,0.06,0.34,0.0,0,509.0,3246.0,26086.0,976,51043,0,0.47,0.17,0.07,0.08,0.07,0.1399999999999999,0.28,0.83,0.9,0.77,0.35,0.75,1.0,0.47,0.31,0.26,0.28,0.0,0.0,0.0,0.0,0.4,0.51
2024-02-28,230386,68016,67014,0.81,0.86,122.15,770.05,110.00714285714285,7,0.72,0.23,0.06,0.43,0.0,0.05,0.33,0.0,1,514.0,3352.0,35003.0,1065,51084,0,0.47,0.17,0.07,0.08,0.07,0.1399999999999999,0.28,0.83,0.92,0.78,0.35,0.75,0.0,0.36,0.35,0.26,0.28,0.0,0.0,0.0,0.0,0.38,0.36
